date,temperature,temperature_avg,temperature_max,temperature_min,rainfall,humidity,wind_speed,month,season,heat_index,NDVI,NDBI,NDWI,LST,rainfall_anomaly,uhi_score,aqi,temp_class,rain_class,aqi_class,human_risk,flood_risk,dengue_risk,heatwave_risk
2019-01-01,19.39,19.39,30.31,10.27,0.0,47.59,2.5,1,Winter,18.627183333333335,0.2673849953553932,0.28043025477912925,0.29871706528014574,21.54192068990925,-0.18133064516129033,2.4296715508802746,71.67412560551986,Very Hot,No Rain,Moderate,Low,Low,Low,Low
2019-01-02,19.22,19.22,30.3,9.86,0.0,49.99,2.89,1,Winter,18.502850000000006,0.24516074945900854,0.27367454375715283,0.3393378629724553,21.343883675950057,-0.18133064516129033,2.3146234392538805,89.27671103884715,Very Hot,No Rain,Moderate,Low,Low,Low,Low
2019-01-03,19.63,19.63,30.61,11.18,0.0,49.04,2.76,1,Winter,18.929044444444447,0.27266909883352425,0.30814144045897796,0.3085264280699213,21.889910263689437,-0.18133064516129033,2.7087861078174003,85.21716628142633,Very Hot,No Rain,Moderate,Low,Low,Low,Low
2019-01-04,19.57,19.57,29.92,10.35,0.0,51.83,3.11,1,Winter,18.935894444444443,0.3033060449742809,0.26526828401304403,0.2607211010032514,21.5953416336375,-0.18133064516129033,2.1521004228349736,78.53481127894695,Hot,No Rain,Moderate,Low,Low,Low,Low
2019-01-05,19.89,19.89,31.27,10.88,0.0,52.66,2.38,1,Winter,19.30956666666666,0.24180463188468324,0.30758261904420614,0.302890577966406,22.24816333261737,-0.18133064516129033,2.942934023533067,97.89859500764985,Very Hot,No Rain,Moderate,Low,Low,Low,Low
2019-01-06,20.9,20.9,32.42,12.72,0.0,52.72,2.15,1,Winter,20.42213333333334,0.24180520650677867,0.2889975542273267,0.28462675356911454,23.192632021262625,-0.18133064516129033,2.7835113683467814,98.32505664529947,Very Hot,No Rain,Moderate,Low,Low,Low,Low
2019-01-07,21.08,21.08,32.0,13.21,0.0,51.33,2.47,1,Winter,20.58383888888888,0.3052724485427587,0.25481248885356506,0.3210170817104701,22.956719476073843,-0.18133064516129033,1.73107834759992,73.5856981840504,Very Hot,No Rain,Moderate,Low,Low,Low,Low
2019-01-08,21.1,21.1,31.52,13.02,0.0,45.71,2.25,1,Winter,20.45909444444445,0.2768602155203518,0.2866176872738456,0.2842877679297653,23.276076137913524,-0.18133064516129033,2.5087134702335847,84.76091302034753,Very Hot,No Rain,Moderate,Low,Low,Low,Low
2019-01-09,21.1,21.1,32.38,12.33,0.0,45.27,2.31,1,Winter,20.447605555555565,0.23356839649227668,0.2421995228622708,0.34777925302143853,23.088623545302365,-0.18133064516129033,1.948608383167108,89.39184429764279,Very Hot,No Rain,Moderate,Low,Low,Low,Low
2019-01-10,21.26,21.26,32.62,12.85,0.0,49.96,2.35,1,Winter,20.746066666666664,0.26898960152550877,0.2912591443029587,0.3172677241894092,23.433425330654153,-0.18133064516129033,2.4757369064075574,83.44550161604786,Very Hot,No Rain,Moderate,Low,Low,Low,Low
2019-01-11,21.44,21.44,32.37,13.49,0.0,51.42,1.87,1,Winter,20.98218888888889,0.23378038075156382,0.29593416669380185,0.31467212015723783,23.74632151097846,-0.18133064516129033,2.7946569610509053,96.22680634728299,Very Hot,No Rain,Moderate,Low,Low,Low,Low
2019-01-12,21.56,21.56,31.88,14.03,0.0,53.2,2.39,1,Winter,21.160666666666664,0.23369945862504102,0.2693375927982631,0.33967676413362746,23.696074441915748,-0.18133064516129033,2.336947057400807,89.73274944862946,Very Hot,No Rain,Moderate,Low,Low,Low,Low
2019-01-13,21.27,21.27,32.15,12.56,0.0,46.41,2.03,1,Winter,20.664372222222223,0.25846867950481117,0.2822238585272005,0.3489172080222759,23.382337442088154,-0.18133064516129033,2.2895019682196867,109.93564455240406,Very Hot,No Rain,Poor,Moderate,Low,Low,Low
2019-01-14,20.96,20.96,31.56,11.85,0.0,46.86,2.26,1,Winter,20.33512222222223,0.18303519143697705,0.31517483380750516,0.31939703744691045,23.50767303855623,-0.18133064516129033,3.378739830927631,70.19366929966041,Very Hot,No Rain,Moderate,Low,Low,Low,Low
2019-01-15,20.81,20.81,31.53,11.4,0.0,40.55,2.76,1,Winter,20.005361111111107,0.18962787586204385,0.27089655932328516,0.2968639910135213,23.15030318251001,-0.18133064516129033,2.858372180607555,83.81490334749293,Very Hot,No Rain,Moderate,Low,Low,Low,Low
2019-01-16,21.07,21.07,31.58,11.99,0.0,49.88,2.61,1,Winter,20.534977777777776,0.23031993647656596,0.2609396634329812,0.26678091151663613,23.283567140460253,-0.18133064516129033,2.57946196746793,74.35626208291258,Very Hot,No Rain,Moderate,Low,Low,Low,Low
2019-01-17,21.62,21.62,31.51,14.25,0.0,54.83,2.73,1,Winter,21.269227777777775,0.21455091078829516,0.3066699412443268,0.2994185072889446,24.060569212923333,-0.18133064516129033,3.1374695778579316,93.30452888849375,Very Hot,No Rain,Moderate,Low,Low,Low,Low
2019-01-18,21.4,21.4,31.34,13.67,0.0,54.26,2.86,1,Winter,21.012344444444437,0.2609986566408346,0.31532656942955434,0.30148363260056116,23.741411428324426,-0.18133064516129033,2.9155784593958405,65.85511498878398,Very Hot,No Rain,Moderate,Low,Low,Low,Low
2019-01-19,21.18,21.18,31.68,13.33,0.0,48.29,2.8,1,Winter,20.614461111111112,0.21821915735675762,0.28006652209326127,0.3232117235897689,23.44085755301138,-0.18133064516129033,2.6588779295611333,89.21522400146259,Very Hot,No Rain,Moderate,Low,Low,Low,Low
2019-01-20,20.87,20.87,32.0,12.18,0.0,46.93,2.67,1,Winter,20.237949999999998,0.20056937045326478,0.2982063346373504,0.3096455935658592,23.29485517147817,-0.18133064516129033,3.079291586066335,78.67488348522102,Very Hot,No Rain,Moderate,Low,Low,Low,Low
